street,latitude,longitude,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
Fuso de la Reina- Tuñón,43.4922292,-5.6604934,33,33,93,93,1,False
Plaza de Olof Palme,39.472714,-0.3491376,31,31,48,48,1,False
Camin del Peñón,43.458737,-5.7560442,100,100,636,636,1,False
Caleya del Río,43.4564554,-5.6078278,47,47,1724,1724,1,False
Cerro la Muralla,20.378618,-99.9582878,33,33,395,395,1,False
Travesía de La Vega,43.5123634,-5.6084749,106,106,552,552,1,False
Calle Fausto Vigíl,43.3904603,-5.6592901,41,41,224,224,1,False
Carretera de Somonte a Tremañes,43.5270592,-5.6932296,36,36,102,102,1,False
Calle las Escuelas,43.5602869,-5.7054797,42,42,462,462,1,False
Calle Rey Pelayo,43.5600674,-5.9772031,42,42,577,577,1,False
Camín de Riusecu,43.4850737,-5.6199934,49,49,1450,1450,1,False
Calle Arquitecto Mariano Medarde,43.536792,-5.7035802,19,26,148,108,0.91,False
Carretera de Niévares,38.5683683,-6.3507308,76,76,693,693,1,False
Accesos de la Estación,43.5407689,-5.7221987,24,24,108,108,1,False
Calle Joaquín Costa,41.9414066,-0.3661387,91,91,1136,1136,1,False
Camín de la Pinganiella,43.4795803,-5.7446094,69,69,16,16,1,False
Calle Altamirano,-29.1768499,-56.6423533,33,33,341,341,1,False
Entrada aparcamiento subterráneo,43.6873129,-7.6201904,69,69,1348,1348,1,False
Calle Fray Ceferino,43.533309,-5.6633512,31,31,359,359,1,False
Camín de Casa Angelín,43.5009069,-5.595798,104,104,589,589,1,False
Carretera Ceruyeda - La Cortina,43.4534773,-5.6210951,48,48,1664,1664,1,False
Camín de Les Maravilles a Pumarin,43.5277007,-5.6876076,87,87,51,51,1,False
Plaza Luis Ruiz de la Peña,43.3708081,-5.8376241,28,33,737,625,0.963806,True
Calle de las Ciudades Unidas,43.3873521,-5.8201078,28,33,737,625,0.963806,True
O-11 Acceso Este de Oviedo,43.5000337,-5.7048678,32,32,4,4,1,False
Paseo de Poniente - Fomento,41.6022384,-4.7996952,106,106,1265,1265,1,False
Calle Río Dobra,43.5186213,-5.6623149,48,48,1664,1664,1,False
Calle Zalamaque,43.3934621,-5.6630065,22,22,76,76,1,False
Aldea Campón,43.3506515,-5.8777196,33,33,647,647,1,False
La Escandalera,43.3621646,-5.8476857,21,27,1030,801,0.996127,False
Calle La Habana,43.5376507,-5.6838117,20,25,305,244,0.976058,False
Calle Don Rodrigo Muñiz Fernández,43.3854281,-5.7038591,63,63,223,223,1,False
Carretera de Castiello,43.5217939,-5.6345673,106,106,552,552,1,False
Plaza Nojosa,43.5380319,-5.6638426,18,23,397,311,0.949742,False
Calle Marco Polo,43.5082443,-5.6879641,100,100,636,636,1,False
Calle de los Tulipanes,43.5321109,-5.6284552,30,30,89,89,1,False
Viñao,43.5243661,-5.6412918,106,106,552,552,1,False
Latores,39.2310247,-3.553517,94,94,1049,1049,1,False
Carretera de Ruedes,43.462788,-5.70803,41,41,837,837,1,False
Calle Hermanas Sánchez Tamargo,43.3731659,-5.8502921,22,28,129,101,1,False
Camín del Peñeu,43.458737,-5.7560442,100,100,636,636,1,False
Parque del Cerro,40.3988854,-3.6560083,31,31,30,30,1,False
Camino de La Iglesia,43.5470352,-5.7005806,42,42,462,462,1,False
Calle Sobrescobio,-37.8430992,-57.5036199,72,72,1148,1148,1,False
Camín de Peña García,43.497024,-5.5992948,106,106,552,552,1,False
Calle Manuel Meana Canal,43.5129198,-5.7260058,60,60,263,263,1,False
Camín de La Perdiz,43.4962966,-5.6699617,46,46,222,222,1,False
