street,latitude,longitude,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
Camino de Santurio,43.4964918,-5.6367545,35,35,143,143,1,False
Camín de Los Acebos,43.4862262,-5.7034707,38,38,282,282,1,False
Calle Oscar Olavarría,43.5462533,-5.6647202,21,26,290,234,0.963129,False
Camín de La Frontera,43.4795803,-5.7446094,69,69,16,16,1,False
Calle Doctor Bellmunt,43.5366682,-5.6575695,26,34,522,399,0.995637,False
Plaza de la Institución Libre de Enseñanza,43.5390054,-5.6998881,20,25,477,382,0.950128,False
Carretera Gijon - Oviedo,43.453009,-5.7612028,62,62,840,840,1,False
Calle Navarra,43.5374655,-5.6510452,18,23,397,311,0.975322,False
Calle Dorotea,43.5310583,-5.694873,54,54,1118,1118,1,False
Calle La Mancha,43.5242278,-5.6723992,23,29,173,137,0.99,False
Camín del Mortuoriu,43.458737,-5.7560442,100,100,636,636,1,False
Paseo del Doctor Fleming,43.5374221,-5.6377361,35,35,183,183,1,False
Callejón de las Fieras,40.4726879,-5.3289951,40,40,70,70,1,False
Calle Alejandro Goicoechea Oriol,43.5309892,-5.6900044,56,56,886,886,1,False
Carretera Xixón - Avilés,43.5450886,-5.7280357,73,73,663,663,1,False
Carretera vieya de Lluanco a L'Empalme,43.5495095,-5.7302875,74,74,668,668,1,False
Rotonda de La Pecuaria,43.5263411,-5.6100432,36,36,347,347,1,False
Calle Pintor Carreño Miranda,43.5356829,-5.6441826,35,35,183,183,1,False
Plaza Villamanín,43.5380319,-5.6638426,18,23,397,311,0.975322,False
Calle de La Soledad,43.5468459,-5.6650579,18,23,397,311,0.975322,False
Travesía de la Mina de Los Areneros,43.5510078,-5.7079515,42,42,462,462,1,False
Profesor Pérez Pimentel,43.5330962,-5.627573,36,36,347,347,1,False
La Carbayera,43.5275629,-5.615159,49,49,1147,1147,1,False
Estacion de Servicios Poligono Bankunion 1,43.5409364,-5.6667414,26,34,522,399,0.995637,False
Calle Concejo de El Franco,43.5230861,-5.6534553,28,28,258,258,1,False
Camín de Runza,43.4850737,-5.6199934,49,49,1450,1450,1,False
El Cañaveral,18.2532114,-96.1577533,71,71,718,718,1,False
Calle Isabel la Católica,43.5337467,-5.6448446,26,34,522,399,0.995637,False
Calle Lanuza,43.5286481,-5.679794,42,55,33,25,0.97,False
Calle Vicente Aleixandre,43.5229456,-5.6866331,37,37,101,101,1,False
Camino del Salgar,43.5469589,-5.631101,50,50,458,458,1,False
Calle Hipatia de Alejandría,43.5214709,-5.6088566,49,49,1147,1147,1,False
Camin del Estanco,43.458737,-5.7560442,100,100,636,636,1,False
Calle Santa Rufina,43.5339687,-5.6611108,48,48,1664,1664,1,False
La Mancha,43.5242278,-5.6723992,23,29,173,137,0.99,False
Calle J Vagoneros,43.4851726,-5.6548518,37,37,77,77,1,False
Calle Mieres,43.2514297,-5.7795184,109,109,607,607,1,False
Calle San Salvador,43.5399462,-5.6975148,20,25,477,382,0.945857,False
Calle Baleares,43.5287011,-5.6701503,26,26,153,153,1,False
Pasarela de Pumarín,43.5288394,-5.677682,17,28,46,28,0.99,False
